" GATE: Entry (ET)","Courage","Compromise","Psychic","Strength","TEAMMATE*","BELIEF","Crisis Outer","OBFUSCATE","Qi Letting go","Kundalini","Trespassing","Held","Qi Disconnect","BURDEN","General Facil","Suppression","Prescience","Aversion","Tribe","STRESS","CODE","Growth","INFLOW","Res In Phase","Story","Exchange","Ancestor","Compression","Move","CONSTRUCT","INFLAME","Return","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","1","Misaligning force that is preventing the inner warrior from being able to feel and act from its courage","In the face of this challenge, one has been compromising one s resourcefulness and power in some way","A form of fixed ideation used as a projectile in psychic warfare or in out-of-body games","An inner part within one cannot express itself openly","Unchanging conditions anchored by the force of an ally s betrayal (check if this life or in the seeding source) ","Belief that interferes with the flow within and between the inner dimensions","A crisis or trauma memory trace that installs a repeating behavior pattern ","There is something within one here which needs strengthening","A belief that is no longer appropriate needs to be let go at an energetic level","Flexibility, flow and consequent joie de vivre is being blocked","Something is trespassing on the inner and life force is being expended to try to hold it off ","Held into, and ensnared by, an emotional patterning that is rising within one","A congested qi point is serving to create disconnection from instinctive awareness ","A burden that is attached to one s vessel is  making one feel stuck or trapped in the material universe","An action needs to be taken that will facilitate the process of ReUnion","An inherited or culturally implanted suppressive tendency is inhabiting one","Forces are present that drive one away from being entirely present with one s greater possibilities","A state of aversion, hypersensitivity, or frustration is circulating mercilessly within one","Tribal rules - the beliefs and paradigms operating in the family, group or culture - are impinging on one here","An external force that is stressing one s system","A coding for behavior and circumstance installed by crisis ","The sacred command to continue growing is being blocked or halted","There is resistance to the truth of something that is coming one s way","A resonance to go in phase with a force and sharpen inner focus in order to deal with it. ","An identity taken on from a legend, myth, sacred story or cultural fabrication","One is feeling the seeding source s inability to find true union and sweetness in their relationships ","The weight of the seeding source is smothering one s vitality in some way  ","A compressed inner aspect that needs opening or strengthening","What is needed to unstick one s inner tides","A held mental construct, unmoving subjectivity","What inflames the inner, irritation and upset","Needed element for complete return of a presently dormant force"
" GATE: Entry (ET)","REJECTING","Together","BLOCK","Outcast","Faith","Living","Qi Step","Curse","Ejection","Creation","Deny","DOM YIN","Scripts*","PASSKEY","Divination","ALLIANCES 1*","Toxic","CHARISMA","Nourishment","Dimension 9*","Clamp","CIRCUIT*","*HelpmodeIndex","Path","Weary","GRACE","Ability","Mistreatment","Covert","Interfere","ATTACH*","Little Devil","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","2","An inner aspect that one is unable to find peace with is being brought forward for one s inspection","Interfering negativity about one s body or surroundings, or about one s close relationships ","Inner information, values or abilities that allow one to process life successfully are being blocked off","There is a self-created or other-created negative intention being triggered within one","Faith in one s inner vision, and one s ability to  hear  the world around one, is being weakened ","A way of living that one needs to change","A need to decompress and open an inner space within the vessel so that action can be taken","The tendency toward self-invalidating separation from one s enthusiasm, of being dragged down","The force of rejection of union - with another or with the divine - the force of otherness, let down","One s creative fertility is being enraptured by a disturbing field of inner chaos and doubt","A form of  anti-prayer  within one is attempting to deny something that is lurking inside one","One s ability to receive and nurture what one envisions or hopes for is being resisted in some way","A recurring drama or story line from a true other life trauma","A passkey to the essence of one s inner state here is at hand","By resolving this present state one will be led towards a specific outcome in one s outer life","An unawakened affinity net is radiating a sensation to one (check if one s own or the seeding source s)  ","The seeding source s force emanation is poisoning one s visions with cynicism","Repair needed to reinvigorate one s charismatic capacity to bring light into one s material life","One is not allowing oneself, or feels that one has lost, that which would nourish, feed and fulfill ","Need to clear a Dimension  9 attribute ","The power within one is being suppressed or dismissed","An idea or state that is circulating through the system as an endless loop ","A helpmode to invite the divine s help in opening oneself to healing","Loss of persistence on one's path","A concealed inner exhaustion - the feeling of one s deterioration or of being used up - dogs one s outgoing spirit","There is a problem with opening and receiving the blessings coming to one from  the divine","An ability or positive state in one is being suppressed in and by the seeding source s disbelief","The seeding source s incident of abusing another or of being abused is stored within one","Secret desires or covert despair within one are muddying one s inner clarity and outer charisma","Interference with one s full presence in the now and with the compassion, strength & courage one feels there","Something is attached parasitically to one","There is an unconscious seduction away from personal authority and confidence squatting within one"
" GATE: Entry (ET)","IMPLANTIndex","Death","INTRUDER*","Oils","Res Worry","Qi Halting","Unburden","Censor","Haze Inner","Qi Confront","Plants","Wall","Dimension 4*","ASTRAY","Clutch","RESOURCE","Illness","Deepfeel","Electricbody","MISSION*","CHAKRA","Qi Upreach","Receptacle","ENVY","Hooked","Qi Balance","Calling","CLARITY","Tone","Meeting","Wrong","Birth","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","3","The presence of an implant that is preventing the release of a sabotaging inner toxicity in one","An uncomfortable feeling of restless confusion that one s path in life is  off track  in some way","An intrusive force has settled within one","A censoring mechanism is suppressing one s warmth and energy and puts one in despair of succeeding","Resonance needed to alleviate worry about what may happen","Life force is being held in the past, rather than refreshing itself and vitalizing the present time vessel","The seeding source s burden that is creating an inability to change","An oil essence to be placed on a TL with reverence and prayer for healing offered ","A belief that is clouding and confusing one s inner world","One s life force needs adjustment to allow a rising up and confronting of what is challenging one here","Plant remedy regarding an inner feeling - or use Plants resonance - follow its goto","An inner distancing that walls off one s clarity and numbs one with self-sabotaging indecision","Need to clear a Dimension 4 sacred attribute in order to open one s clarity on the issue at hand ","A sense of scarcity, disappointment or self-doubt is leading one astray from one s powerful ability to create","A penetration by false ideas that offer justifications for one s fear of loss or abandonment","A resource that lies within one s inner needs to be recovered and realized in the outer world","There is a dysfunctional emanation within one s relationships, or in one s physical body or outer world","These deeply hidden feelings are creating a compressing inner tightness in one s nervous system","An energy permeating one s vessel is dampening one s confident insight and sense of one s path ahead","What interferes with the accomplishment of one s Mission of love for this lifetime","A chakra - electromagnetic container of a sacred attribute - needs cleaning or opening (TL which chakra)","A life force adjustment to allow a creative rising up and receiving of Grace","Inner anxiousness is 'shrinking' one s true grandness and sinking one into a sense of frustrating unease","Caught in powerlessness or  jealousy, feeling that one is being made nothing of","A restraining force is hooked into one s field (TL for where) and disrupting one s expansive optimism","The balance and harmony of one s life force needs adjustment to banish the system s uncertainty","The seeding source is calling to help one but is not being heard","One is undergoing a loss of clarity that distracts attention from one s grandeur and expansive understanding","Beneath the outward presentation of oneself to others is a depleting emotional state that haunts one","One s material fears and the grandness of one s divine nature are colliding with each other ","An error or wrong indication creating inner instability","A birth, death, or the creation of something new is stimulating uncertainty and anxiety within one"
" GATE: Entry (ET) ","Blinded","Hidden","Survival","Dimension 1*","Res Code","Viral","Crisis Inner","Yinflow","Unclean","Inbody","TERRITORY","Haze outer","Future","MAZE","Pray","Res Whole","But","Freespirit","Dimension 8*","Attend","Nurture","Touch","CHAINS","Hallways","Wholeness","Hunger","RESCUERS*","EXHAUSTION","Fixation","Qi Center","Dimension 6*","Core","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","4","The powerful inner vision that allows one to guide one s instincts and attain success is being befuddled","Deep within is a saddening and confusing obstruction that is misleading and discouraging one","Disabling of dynamism, power and the drive to survive","One s yin aspect, that which receives and nurtures, is being corrupted in some way ","A resonance to help ameliorate a trauma code (do this resonance, and then go to Code)","An infectious resonance within one that broadcasts toxic commands to others","One s inner is being held in a crisis state","One needs to clear a Dimension 1 attribute","A factor which is creating an unclean feeling within one","The need to find and occupy the body or to find a fulcrum within the physical world that keeps one centered","Some part of one s inner territory needsrevelation or cleansing ","A belief that  filters  one s perception of the outer","Opening to the future needs to be addressed","Despite successes, one remains tangled up in an inner struggle with the sense that one will fail","A prayer is needed...","A resonance to refresh the vibrancy of one s vessel and bring it into harmony with one s hopes","The inner has been trying to resolve itself but something keeps jamming up and attacking one s confidence","What is binding one so that one cannot rise into the light above the inner s turbulence","One needs to clear a Dimension 8 attribute to allow one s inner to open up and flow (TL yin or yang aspect)","Coming into the present and finding the inner silence so that the whisper of the divine may be heard","There are qualities that exist within one that are not being nurtured","A point that, when held for 30 seconds, enables one to more easily confront of a self-deprecating force","One needs to cast off the chains that hold one back from bountiful renewal and the joy of accomplishment","Inner connectedness is being haunted by a shattering force","Forces that are interrupting the wholeness of one s mind-heart-body system","There is a hungering within one","One is being called to a radical transformation","The power of one s life force is being constrained","An idea, belief or dogma that has been fixed into one s inner by culture or family","One s energetic core is befuddled and makes one unable to feel at home","Need to clear a Dimension 6 attribute","One is not feeling  at home  in the material universe"
" GATE: Entry (ET)","Need","Trust","Qi Profane","Qi Four","MOTE","Obscure","Res Dark Angel","Purpose","Concealed","Maya","Ascend","Decision","Qi Isolate","Qi Interrupt","Rut","Qi Drain","State","PILOT","SERVANT","Identity","FEELPOWER","Body","Mask","Res Exorcise","Dark levels","Qi Rejoining","Sealed","Misinformation","Weight","Sensitive","Genetic","Frailty","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","5","Interference with the easy breath of vitality and aliveness","Interference with being able to trust the divine, oneself or others to fulfill one s needs or desires","A blocked life force flow that disallows one from rising up towards Grace","A purpose one has is undefined or lost","What is seen in others is that which is being denied in oneself","The inner is being entrapped by obscuring forces that prevent open realization and realignment","A resonance for a force that is creating a reversal of good states, e.g. health to illness, joy to sadness ","Four point release of clustered life force","An underlying pattern of force that is hidden from one s view","A veil of illusion and amnesia is clouding inner vision and one s ability to change or grow","Factor that makes one no longer want to be able climb out of the inner storms  - giving up","That which is interfering with being able to make the right choices and decisions","Life force flow is being altered by subtle parasitic forces that seduce one into unknowing","A qi element, which is being suppressed, is decreasing one s vitality, confidence and creativity","One feels trapped in a mundane repetitiveness and lacking in  specialness  or in other possibilities","Life force is compressed by apparent stress and is draining off one s inner aliveness","An inner state is creating worrisome doubt, fogginess or sadness regarding one s self-perceived deterioration ","Enabling one s vessel to receive and contain inner guidance","Some inner force has seemingly risen up  within one and taken charge, and putting one into subservience to it","A self-concept that does not allow one to draw on inner resources","Deep feelings within one are preventing access to one s inner resourcefulness","Factors of imbalance in the body, an instability within the material world","An identity that one has been trying to hide away from oneself or others needs to be seen and lifted away","A resonance that exorcises the vessel of something that is creating a darkness","Invaded by a dark archetype or astral entity that is weakening one s resolve","Bringing together those parts of the vessel not in harmony with each other to increase one s confront of the real ","An inner faculty is being sealed off and needs to be accessed","Some information which is within the inner as the truth is actually wrong and needs righting","One is inwardly burdened by a negative self-invalidation","One s sensitivity is being affected by  something or someone...","The seeding source s state has created a genetic chemistry which has been passed into one s vessel","A frailty exists within one s inner understanding or is somatically signaling in the body"
" GATE: Entry (ET)","Bacterial","Decay","DEMONIC*","Dimension 7*","Urge","ID Archetype","Res Restart","PULSING","OUTSYNCH","Persona","Qi Tempt","Res Former","ACCOMPLISH","ISelf Recog","Lessons","Qi Dark Yang","Qi Element","Inversion","Res Archetype","Qi Prepared","Fortune","Dimension 5*","DOM YANG","Res Feeling","Energy Shape","Powerdrive","Dimension 2*","Ask","Qi Numb","Rising","Qi Attunement","Vessel","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","6","Loss of ease and confident communication ","Unbalanced feelings that are not allowing one to release a basic distrust one needs to let go","A demonic paradigm needs to be seen and  facilitated to help the process of healing here","The envelope of feeling within one is being  frozen  by a force of great loss or fear and needs immediate release","An instinctive urge is haunting one","One is not allowing the possibilities provided by the basic framework of one s present identity","A resonance that calls on the energetic system to restore what has been lost","Need to clear a Dimension 7 attribute","Heart and mind areout of synch and unable to contact the true inner self","There is a distortion within the way one presents oneself to the world that is preventing self realization","A life force state that is seducing one to feel powerless","A resonance to help deconstruct a state that one has held onto for a long time","There is interference in the ability to accomplish goals or purposes","The force pattern here prevents one from allowing an ISelf Recognition level into one s life","A past lesson regarding spiritual or material attainment is no longer appropriate","A life force darkness within one s yang or outreaching nature needs clearing","One of the five elements of one s life force system needs adjustment to bring a fresh harmony to the whole","A mechanism that opposes or puts an obstructing pressure on one s intentions and yearning identity","A resonance to allow one to replace the seeding source s belief in struggle and suffering","A life force adjustment to allow one s receptive yin to grow something new within it ","The nature of one s  joss  or  luck ","Need to clear a Dimension 5 attribute","One s ability reach out and shape one s physical circumstances feels weak, frustrated or scrambled","A resonance needed at the emotional level.","There is an energy shape active in one s body, field or environment - TL and clear, then return to Entry","Past experiencs of darkly taking power over others leaves one hesitant about one s present choices","Need to clear a Dimension 2 attribute","A question needs answering until an answer reveals itself that unhooks an active inner force","Some part of one s life force system is walled off and holding unbalanced feelings","Phototropic strength  - to rise up from the earth toward heaven - is being sapped in some way","One s life force flow needs tuning up to free the inner of static and interference","The state of one s vessel (body or field) needs attention"
" GATE: Entry (ET)","Qi Dark Yin","Lame","Qi Allowing","Res Fresh","Chaos","Truth","JOY","Addiction","Qi Opening","VULNERABLE","Discarnate","Reassignment","Displacement","REALIGN","Res Relate","Entry","Qi Joining","Qi Soiled","Excuse","Innerworld","Res Catalyst","Qi Entice","Reunion","Res Out Phase","Qi United","Impatience","ESCAPE","MINDFIELD","Res General","Tickle","Res Integrate","Qi Congestion","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","7","A life force darkness within one s receptive or yin side needs clearing","What is laming an inner resource that is flowing to one from the Seeding source","Qi point needs stimulation to bring about the vessel s ability to be receptive and allow things in","A state changing force, which has been passed on from the seeding source, grips one s inner","A need to penetrate and pass through a band of inner chaos in order to unseal and transform oneself","What is needed to find the truth","A barrier to one's joyfulness and ecstatic union with what is","A resonance to refresh the inner with a new direction","One s life force needs stimulation to help center oneself within the vessel","Feelings of vulnerability","A discarnate being needs help finding union with the divine","A factor that is preventing the assignment of self s will to the divine s direction","Two identities one is facing are struggling against each other","To bring parts of the self back into alignment with one s Mission of love on earth","A resonance to clear the energetics of a relationship","Contraction at the abdomen, diaphragm or scalp. TL, hold with both hands and let it go. Reassess Entry","A life force disturbance that is creating feelings of being discarded in some way  ","One s life force needs cleaning because it is creating a worrying or negating rumbling within one","A belief is being held that makes others wrong and oneself right as a justification for one s state","What needs to be seen inwardly","A homeopathic remedy through empathic resonance to lift away the sense of being rejected","A life force state that seduces and pesters  when one is trying to change","One s inner calls for return to an older paradigm or way of understanding","A resonance that allows the energetic system to go out of phase with a force and cancel it","Qi adjustment to unite the inner male and female so that inner truth can be seen and experienced","Restless exasperation at one s slow progress","One is trying to escape something","A model of reality stored in one s mindfield needs cleaning or refurbishing","One s innate inner vibrancy needs an empathic resonance to spring forward","Unable to see the Grace of misfortune or bad luck","A resonance to help get back into the body and its full field","Life force flows within one s vessel are being blocked"
" GATE: Entry (ET)","Res Change","Seeing","AUTHORITY","Anxiety","Ready","Res Seed","EVIL*","Lineage","Qi Unfolding","Cell","Harm","Nobility","Yoke","HEART","Overpower","Dimension 3*","FIELD","DEFENSE","Control","Overwhelm","If Only","Meaning","EM ","DEMONIC*","Yangflow","CRF","Qi Trails","Compartment","Qi Pinched","Taboo","Qi Ear","Game","Entry enables clean entry to the inner conditions being signaled. We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.  - Ralph Waldo Emerson","","","","","8","8","A resonance to begin a change of one s state","The flying heart, which sees and understands consequences, is being grounded","The state of inner uprightness and authority, the ability to connect Heaven and earth ","The seeding source is calling to one for help ","Preparing the vessel for active integration....","A resonance to help explore a potential resource that is presently in a seed state","A destructive intention is festering within one s inner system (find the destructive intention, go to Monster)","An inner problem is being created by two opposing beliefs held at the same time","Life force needs adjusting to allow one to open up or unfold ","Irritation at the cellular level","Harmful actions against others are returning to their source","The inner nobility, that provides one with authority as a creator, is calling for renewal","Yoked to misaligning forces from the past","The human heart, which expresses mercy and understanding of consequences, calls for cleansing","How one is overpowering others","Need to clear a Dimension 3 attribute","A distortion, bending, rip, tear or hole in the field of one s vessel (TL for location)","The protective energy that defends one s inner wholeness and its power source is partly depleted","Being held in the force of  what you do not control controls you  creates both fear and power hunger","Allowing others to overwhelm one, becoming the victim","A hidden standard serves as an excuse for not succeeding","A basic understanding that gives meaning to existence is here to be examined","Electromagnetic realignment of one s vessel","One is possessed by a chronic state","One s yang aspect, that which reaches out and shapes, is corrupted in some way","One craves immediate freedom from a collective s imposed sense of limitation","The vessel wishes a qi adjustment to redress acute modifications of its life force flows","One s inner yin receptivity and yang  outreach are not acting in coordination with each other","A life force flow is being delayed by a pinched point along its flow line","Knowledge that has been held back or unrevealed in order to control or manipulate others","Ear acupuncture required","The game of life as a journey and what may be befuddling one s forward motion"
" GATE: Ability","Weary","ACCOMPLISH","Faith","Growth","Truth","TERRITORY","PILOT","Rising","Nurture","Need","Meeting","Impatience","ID Archetype","Innerworld","Story","RESOURCE","Nourishment","Sensitive","VULNERABLE","IMPLANTIndex","Displacement","Receptacle","Anxiety","CHAINS","Tribe","CHARISMA","Ascend","Nobility","Wall","Creation","ASTRAY","DOM YIN","To bring forward the Ability  -  Close your eyes, take a big breath, and allow (Ability state in bold font) to spontaneously rise within you now . Tap In...  See yourself and (the seeding source and any other individual beings who have come up in the session) Ability action in plain font (as it applies to both oneself, the seeding and others who may have come up in the session) ....  Tap In.  And across the bridge of space and time feel (the seeding source  s) deep thankfulness to you for the healing and light you have brought to (him/her/them) here.  ... Tap In ....  and then in return embrace (the seeding source) with heartfelt fellowship and welcoming appreciation.  ... Tap Up.Ability tells of the incremental aftertaste of inner strength being passed on to us by ancestral teammates, or from the pre-body space, a true other life or another being, that leads us to expand ourselves joyfully beyond the forces that we have been dealing with in the session. You ve got to remember that miracles don t happen to you, you happen to miracles.  - Yehuda BergUse: Ability is most often put in at the end of the session after the Resolving mode has been introduced and goes in, and *Continue has been checked. The Ability goto is not followed unless Ability has come up in the body of the session before resolving has been reached. ","","","","","3","1","Delighted optimism - opening one s heart to exhilarating fulfillment and a brightly shining destiny ...","A joyous excitement - feeling Grace s loving presence now lifting one into a glorious new existence ... ","A loving magic - gratefully welcoming the warmth and excitement that is flowing to one now ...","Trust in one s emerging empowerment - taking on a new clarity that celebrates the joy and magic of life ...","The divine s liberating inspiration - feeling the love, the beauty and the truth embracing one s heart ...","The will to accomplish - rejoicing in an upswelling sense of the beauty of how things are going to be ...","A trusting certainty - opening oneself to Grace s exhilarating power and rejoicing in the magic of existence ....","A courageous power - acting in deep self compassion and an energizing recognition of one s capacity to heal ...","A reawakening faith in one s hopes - opening to the truth and bright radiance of Grace s empowering love ...","A powerful change - surrendering to the presence of a powerful love opening one to glorious new realities ...","A new understanding - opening to the reality of loving without condition and to the magic of Grace ...","A joyful new energy - realizing the breathtaking delight of life and the miracles it is bringing one ...","A new wonder and passion - welcoming the joyful miracle of Grace s presence in one s world ...","A powerful understanding - celebrating the truth and the beauty of what one is receiving in this world ...","Exuberant creativity - playing the game of life with an abandon and power that brings truth into being ...","The beautiful magic in one s life - rising into the clear light of unlimited freedom and the bliss of existence ...","One s hopes coming true - being guided by Grace to the joy and fulfillment one has for so long hoped for ...","A sudden and wonderful change - opening to the wonder of Grace s amazing and healing friendship ...","The knowing of the heart - realizing the profound truth of one s power to shape one s destiny ...","Freedom as a grateful and mighty spirit - welcoming the clarity and good fortune now able to be in one s life ...","The divine s true friendship - knowing that all that is needed is Grace s guiding magic and love ... ","A sacred liberation - seeing one s life opening into a majestic grandeur and truly limitless possibilities ...","The joy of being profoundly healed - realizing that one s power to manifest what one wants is now with one ...","An unleashed grandeur - happily embracing a new hope for healing, fulfillment and passion ...","Trust in the joys that are to come - brightly opening to the love and success now turning towards one ...","The glory of one s path ahead - opening oneself to the miracle of Grace s healing forgiveness and love ...","A charismatic confidence - opening gratefully to the miracles being granted to one by Grace ...","The truth being set free within one - unfurling one s heart to the beauty and the miracles with one now ...","The power to overcome all limitation - transforming one s world by showing one s true strength and mastery ...","A grand release - feeling the delight of Grace s guidance and love radiating within one and out from one ...","Clarity and amazement - brushing aside  dismissal and turmoil and embracing the miracle of Grace s love ...","Healing energy and present miracles - accepting Grace s spaciousness and truth within one ..."
"  Accomplish","Divination","Qi Element","Unclean","Blinded","Res Worry","Deepfeel","Impatience","RESOURCE","ASTRAY","Freespirit","Qi Soiled","DEMONIC*","Qi Prepared","Ability","IMPLANTIndex","Ejection","Hooked","ENVY","OBFUSCATE","Powerdrive","Wrong","Overwhelm","CODE","Purpose","Res Whole","INTRUDER*","Viral","DOM YIN","Qi Four","Birth","Weary","Tickle","What prevents realization of a goal or purpose, what is stopping action towards successful accomplishment. On a day when the wind is perfect, the sail just needs to open and the love starts.Today is such a day.  - Rumi: Translated by Daniel Ladinsky","","","","","1/F","1","One s distrust is not allowing one sufficient clarity and drive for an accomplishment one hopes to attain","Absorbing the seeding source s inner disharmony here has been fouling a life force element within one","These unclean feelings and images invading one are plundering the power that is enthroned within one","A resource within one needs refreshing to fully heal the difficult outlook one has been encountering here","An empathic resonance is needed to alleviate past disappointment and worry about what may happen","And this solidity within one s deep innerhe forward ","One feels exasperated by one s apparent lack of progress","With this, one is unable to envision one s desires with any real enthusiasm about their being fulfilled","Unable to patiently stay with one s goal or understanding of the truth, drifting into distraction or loss of hope","This bitter despair in the seeding source is fragmenting both one s hopefulness and clarity on what is true","Such failure is fertilizing an inner feeling that one knows to be unclean and unwanted","One s hopes are being dimmed by a demonic paradigm being projected by the seeding source ","A life force imbalance needs to be corrected in order to prepare oneself for successful change","One has been unknowingly blocking an outlook within one that would lead one to healing and fulfillment","An implant shared with the seeding source keeps smothering one with a tiring fear of being let down yet again ","One is being persistently plagued by lost confidence in one s hopes and heartfelt intentions because of this","One s true power to manifest is being subliminally diminished by a pain echoing within the seeding source","The seeding source s bitter belief that they are a victim in some way is veiling one with a difficult unease","The force here is trying to make one reluctant to project real hope into what one wants to accomplish here","One must realize that one s ability to accomplish fails when one does not trust oneself or trust others ","One s hope is invalidated by being made to feel a  sinner  or  wrong ","Winning by losing - the power of being a victim","A trauma code in the seeding source is creating an unkind self judgment in them and in oneself ","One s pursuit of a purposeful new state is being prevented by a counter-intention within one","Empathic resonance to illuminate the force at hand that is making one s hopes seem such a struggle","The intrusive force here has been cruelly countering one s power to bring out the magic one has within one","One is being infected by the seeding source s toxic chain of fear, anxiousness, inadequacy and despair ","One s self confidence is being taunted by one s long term experience of not accomishing one s hopes","A stressful state associated with one s ability to accomplish one s vision now needs to be lifted","This is making one feel a tense instability and distrust of being able to give birth to a desired reality","One is feeling burnt out, discouraged and inwardly devitalized by failure","This emotional self torture in the seeding source pushes them to being unkind and blind to Grace s love"
"OPENING: Seeding source","DEMONIC*","CRF","Freespirit","CIRCUIT*","Crisis Outer","Crisis Inner","INTRUDER*","Scripts*","ID Archetype","Birth","STRESS","Psychic","Curse","Crisis Outer","Ejection","*Generations","State","*Generations","EVIL*","Tribe","Game","Together","Death","Need","Chaos","ATTACH*","*Generations","Wall","IMPLANT 10","Displacement","ALLIANCES 1*","Illness","Seeding source regresses one s inner to the identity in which the force pattern dealt with in this session was originally hosted. This identity s accumulated memories and forces enable one to get contextual perspective on its present enactment within oneself as this seeding source s force pattern will tend to echo whatever issue is being dealt with in this session.  By compassionately opening to, and understanding, the source of this echoing force pattern within one, a clearer and more multi dimensional perspective on the enactment of these forces in present time can be attained.Note: When a submode here refers to a pre-body, realize that the pre-body is carrying whole life recordings of all the life forms it has entered and exited from in the physical universe. In faciitations for the pre-body therefore, the lives within them should also all be involved. Once the seeding source is found, have the client feel the seeding source s presence with them - greet the seeding source and feel the seeding source greeting the client in return. Seeding source is generally assessed at the beginning of the session, but note that it can be assessed instead at any time later in the session if this feels more appropriate.Note: If Seeding will not go in, reassess the ISelf Recognitions level and tap in to establish the session on a more appropriate awareness level, then recheck this file. If Seeding is still blocked, ask if the identity is one incarnated on another planet (indicate, use Off World page and Tap In). `As much as the calf wants to suckle, the cow wants to milk.' - Yehuda Berg","","","","","1","1","Demonic paradigm - find paradigm, seed and facilitate, then follow goto trail ","Resonating with a collective - find the CRF, reseed for the source of the mutual implant when appropriate","A group of pre-body beings is calling on one to break free and find one s power ... Reseed when needed    ","A lingering decision made in a true other life or by an ancestor in that life (TL which) (Maps,Year,*Generations)","Bouncer - won t seed, shame bounces it away - go to Crisis Outer and its goto to get the pain, then reseed ","Ancestral (*Generations) ), true other life s (Maps/ Year Chart) or someone close ...(TL who) crisis state","Invasion by an intruding seeding source - get who this is (*Generations) and run Intruder* ","Oneself in this present life holding onto a circuit - find the circuit, get its seeding source, follow the goto","An ID Archetype within oneself is being smothered - find which, then reseed for the source of this smothering","Force installed in one by a parent during birth or conception. TL which parent and if this life or in an other life ","A mutual stress in oneself and in a partner, ancestor, family member, or ally (TL who).Find stress, then reseed","Penetration by an ally s, true other life, ancestor s or group s (TL which) psychic conflict ","The feeling of being cursed coming from (TL) another in this life, an ancestor, a true other life, or between lives ","A force array created in one by a traumatic experience during this lifetime - reseed if and when necessary","As a pre-body first entering  the physical universe, one self limits by assuming abandonment by Grace ","An ancestor who oneself as a pre-body  touched  and from whom one magnetically absorbed the forces here ","A state coming from a deceased ancestor, family member, partner or group (TL) who is in between lives","A force from an ancestor, family member, spouse, lover, ally, leader or mythological figure (TL) ","One is being harried by an evil intention - assess for the evil intention, get seeding source, complete Monster ","An ally s despair over the disunion in their partnership or family life - TL who (family member, partner, friend) ","A force in one s own, an ancestor s or true other life s (TL which) pre-conception or post-death portal (TL which) ","The troubling presence of a this life s, ancestor s or true other life s (TL which) unhappy partner ","A bad outcome that keeps repeating in one s life. Reseed to get the being behind this","Another bound to one as a friend, lover, or family member during all one s time in this universe (TL who)","An other life recording in one s between lives pre-body leading one to feel hung up between two realities ","The seeding source is clinging onto one in order to get help here -  get the seeding source if not yet known","A force that is present on both ancestral lineages (mother s side AND father s side - find who on each line)","Seeding is being self sabotaged as a way of not confronting transformation - go to Wall, then reseed","a) One as a pre-body drawn into another s body, or b) others  pre-bodies drawn in one s own body (TL which) ","Assess Seeding 13, then go to Displacement and follow its sidebar procedure","Resonating with a troubled affinity net pre-body or presently embodied being (TL for which)","An ancestor, spouse, family member, friend, discarnate, true other life (TL which) who is hiding something "
