File Code,Set#,Set total,Q1,Q2,Q3,Q4,sm0,sm14,sm124,sm245,Goto sm0,Goto sm14,Goto sm123,Goto sm245,sm1,sm15,sm123,sm345,Goto sm15,Goto sm124,Goto sm345,Goto sm1,sm23,sm125,sm1234,sm2,Goto sm23,Goto sm125,Goto sm1234,Goto sm2,sm24,sm134,sm1235,sm3,Goto sm24,Goto sm134,Goto sm1235,Goto sm3,sm25,sm135,sm1245,sm4,Goto sm25,Goto sm135,Goto sm1245,Goto sm4,sm34,sm145,sm1345,sm5,Goto sm5,Goto sm34,Goto sm145,Goto sm1345,sm12,sm35,sm234,sm2345,Goto sm12,Goto sm35,Goto sm234,Goto sm2345,sm13,sm45,sm235,sm12345,Goto sm13,Goto sm45,Goto sm235,Goto sm12345,Mode,Information
" GATE: Entry (ET)",1,8,,,,,Misaligning force that is preventing the inner warrior from being able to feel and act from its courage,An action needs to be taken that will facilitate the process of ReUnion,There is something within one here which needs strengthening,A resonance to go in phase with a force and sharpen inner focus in order to deal with it. ,Courage,General Facil,Strength,Res In Phase,"In the face of this challenge, one has been compromising one’s resourcefulness and power in some way",Forces are present that drive one away from being entirely present with one’s greater possibilities,An inner part within one cannot express itself openly,A compressed inner aspect that needs opening or strengthening,Prescience,OBFUSCATE,Compression,Compromise,"Tribal rules - the beliefs and paradigms operating in the family, group or culture - are impinging on one here","Flexibility, flow and consequent joie de vivre is being blocked",Unchanging conditions anchored by the force of an ally’s betrayal (check if this life or in the seeding source) ,"A state of aversion, hypersensitivity, or frustration is circulating mercilessly within one",Tribe,Kundalini,TEAMMATE*,Aversion,There is resistance to the truth of something that is coming one’s way,"Held into, and ensnared by, an emotional patterning that is rising within one",A crisis or trauma memory trace that installs a repeating behavior pattern ,One is feeling the seeding source’s inability to find true union and sweetness in their relationships ,INFLOW,Held,Crisis Outer,Exchange,"An identity taken on from a legend, myth, sacred story or cultural fabrication",A burden that is attached to one’s vessel is  making one feel stuck or trapped in the material universe,A belief that is no longer appropriate needs to be let go at an energetic level,"A held mental construct, unmoving subjectivity",Story,BURDEN,Qi Letting go,CONSTRUCT,The weight of the seeding source is smothering one’s vitality in some way  ,An inherited or culturally implanted suppressive tendency is inhabiting one,A congested qi point is serving to create disconnection from instinctive awareness ,Needed element for complete return of a presently dormant force,Return,Ancestor,Suppression,Qi Disconnect,A form of fixed ideation used as a projectile in psychic warfare or in out-of-body games,"What is needed to unstick one’s inner tides",An external force that is stressing one’s system,A coding for behavior and circumstance installed by crisis ,Psychic,Move,STRESS,CODE,Something is trespassing on the inner and life force is being expended to try to hold it off ,"What inflames the inner, irritation and upset",The sacred command to continue growing is being blocked or halted,Belief that interferes with the flow within and between the inner dimensions,Trespassing,INFLAME,Growth,BELIEF,Untitled.pct,"Entry enables clean entry to the inner conditions being signaled.‘We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.’ - Ralph Waldo Emerson"
" GATE: Entry (ET)
",2,8,,,,,An inner aspect that one is unable to find peace with is being brought forward for one’s inspection,By resolving this present state one will be led towards a specific outcome in one’s outer life,"The tendency toward self-invalidating separation from one’s enthusiasm, of being dragged down",Loss of persistence on one's path,REJECTING,Divination,Outcast,Path,"Interfering negativity about one’s body or surroundings, or about one’s close relationships ",The seeding source’s force emanation is poisoning one’s visions with cynicism,There is a self-created or other-created negative intention being triggered within one,The seeding source’s incident of abusing another or of being abused is stored within one,Toxic,Curse,Mistreatment,Together,"One is not allowing oneself, or feels that one has lost, that which would nourish, feed and fulfill ",One’s creative fertility is being enraptured by a disturbing field of inner chaos and doubt,"Faith in one’s inner vision, and one’s ability to ‘hear’ the world around one, is being weakened ",Repair needed to reinvigorate one’s charismatic capacity to bring light into one’s material life,Nourishment,Creation,Faith,CHARISMA,A helpmode to invite the divine’s help in opening oneself to healing,One’s ability to receive and nurture what one envisions or hopes for is being resisted in some way,A need to decompress and open an inner space within the vessel so that action can be taken,There is a problem with opening and receiving the blessings coming to one from  the divine,"*Helpmode
Index",DOM YIN,Qi Step,GRACE,A concealed inner exhaustion - the feeling of one’s deterioration or of being used up - dogs one’s outgoing spirit,A passkey to the essence of one’s inner state here is at hand,"The force of rejection of union - with another or with the divine - the force of otherness, let down","Interference with one’s full presence in the now and with the compassion, strength & courage one feels there",Weary,PASSKEY,Ejection,Interfere,An ability or positive state in one is being suppressed in and by the seeding source’s disbelief,An unawakened affinity net is radiating a sensation to one (check if one’s own or the seeding source’s)  ,A recurring drama or story line from a true other life trauma,There is an unconscious seduction away from personal authority and confidence squatting within one,Little Devil,Ability,ALLIANCES 1*,Scripts*,"Inner information, values or abilities that allow one to process life successfully are being blocked off",Secret desires or covert despair within one are muddying one’s inner clarity and outer charisma,Need to clear a Dimension  9 attribute ,The power within one is being suppressed or dismissed,BLOCK,Covert,Dimension 9*,Clamp,A form of ‘anti-prayer’ within one is attempting to deny something that is lurking inside one,Something is attached parasitically to one,An idea or state that is circulating through the system as an endless loop ,A way of living that one needs to change,Deny,ATTACH*,CIRCUIT*,Living,Untitled.pct,"Entry enables clean entry to the inner conditions being signaled.

‘We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.’ - Ralph Waldo Emerson"
 GATE: Entry (ET),3,8,,,,,The presence of an implant that is preventing the release of a sabotaging inner toxicity in one,A penetration by false ideas that offer justifications for one’s fear of loss or abandonment,An oil essence to be placed on a TL with reverence and prayer for healing offered ,"Caught in powerlessness or  jealousy, feeling that one is being made nothing of","IMPLANT
Index",Clutch,Oils,ENVY,An uncomfortable feeling of restless confusion that one’s path in life is ‘off track’ in some way,"There is a dysfunctional emanation within one’s relationships, or in one’s physical body or outer world",A censoring mechanism is suppressing one’s warmth and energy and puts one in despair of succeeding,One is undergoing a loss of clarity that distracts attention from one’s grandeur and expansive understanding,Illness,Censor,CLARITY,Death,An energy permeating one’s vessel is dampening one’s confident insight and sense of one’s path ahead,One’s life force needs adjustment to allow a rising up and confronting of what is challenging one here,Resonance needed to alleviate worry about what may happen,These deeply hidden feelings are creating a compressing inner tightness in one’s nervous system,Electricbody,Qi Confront,Res Worry,Deepfeel,Inner anxiousness is 'shrinking' one’s true grandness and sinking one into a sense of frustrating unease,An inner distancing that walls off one’s clarity and numbs one with self-sabotaging indecision,The seeding source’s burden that is creating an inability to change,The balance and harmony of one’s life force needs adjustment to banish the system’s uncertainty,Receptacle,Wall,Unburden,Qi Balance,A restraining force is hooked into one’s field (TL for where) and disrupting one’s expansive optimism,"A sense of scarcity, disappointment or self-doubt is leading one astray from one’s powerful ability to create",A belief that is clouding and confusing one’s inner world,One’s material fears and the grandness of one’s divine nature are colliding with each other ,Hooked,ASTRAY,Haze Inner,Meeting,The seeding source is calling to help one but is not being heard,A resource that lies within one’s inner needs to be recovered and realized in the outer world,Need to clear a Dimension 4 sacred attribute in order to open one’s clarity on the issue at hand ,"A birth, death, or the creation of something new is stimulating uncertainty and anxiety within one",Birth,Calling,RESOURCE,Dimension 4*,An intrusive force has settled within one,Beneath the outward presentation of oneself to others is a depleting emotional state that haunts one,What interferes with the accomplishment of one’s Mission of love for this lifetime,A chakra - electromagnetic container of a sacred attribute - needs cleaning or opening (TL which chakra),INTRUDER*,Tone,MISSION*,CHAKRA,Plant remedy regarding an inner feeling - or use Plants resonance - follow its goto,An error or wrong indication creating inner instability,A life force adjustment to allow a creative rising up and receiving of Grace,"Life force is being held in the past, rather than refreshing itself and vitalizing the present time vessel",Plants,Wrong,Qi Upreach,Qi Halting,Untitled.pct,"Entry enables clean entry to the inner conditions being signaled.

‘We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.’ - Ralph Waldo Emerson"
 GATE: Entry (ET) ,4,8,,,,,The powerful inner vision that allows one to guide one’s instincts and attain success is being befuddled,A prayer is needed...,One needs to clear a Dimension 1 attribute,Inner connectedness is being haunted by a shattering force,Blinded,Pray,Dimension 1*,Hallways,Deep within is a saddening and confusing obstruction that is misleading and discouraging one,The inner has been trying to resolve itself but something keeps jamming up and attacking one’s confidence,"One’s yin aspect, that which receives and nurtures, is being corrupted in some way ",The power of one’s life force is being constrained,But,Yinflow,EXHAUSTION,Hidden,One needs to clear a Dimension 8 attribute to allow one’s inner to open up and flow (TL yin or yang aspect),The need to find and occupy the body or to find a fulcrum within the physical world that keeps one centered,"A resonance to help ameliorate a trauma code (do this resonance, and then go to Code)",What is binding one so that one cannot rise into the light above the inner’s turbulence,Dimension 8*,Inbody,Res Code,Freespirit,One needs to cast off the chains that hold one back from bountiful renewal and the joy of accomplishment,A belief that ‘filters’ one’s perception of the outer,One’s inner is being held in a crisis state,There is a hungering within one,CHAINS,Haze outer,Crisis Inner,Hunger,Forces that are interrupting the wholeness of one’s mind-heart-body system,"Despite successes, one remains tangled up in an inner struggle with the sense that one will fail",A factor which is creating an unclean feeling within one,One’s energetic core is befuddled and makes one unable to feel at home,Wholeness,MAZE,Unclean,Qi Center,One is being called to a radical transformation,A resonance to refresh the vibrancy of one’s vessel and bring it into harmony with one’s hopes,Opening to the future needs to be addressed,One is not feeling ‘at home’ in the material universe,Core,RESCUERS*,Res Whole,Future,"Disabling of dynamism, power and the drive to survive","An idea, belief or dogma that has been fixed into one’s inner by culture or family",Coming into the present and finding the inner silence so that the whisper of the divine may be heard,There are qualities that exist within one that are not being nurtured,Survival,Fixation,Attend,Nurture,"Some part of one’s inner territory needs
revelation or cleansing
 ",Need to clear a Dimension 6 attribute,"A point that, when held for 30 seconds, enables one to more easily confront of a self-deprecating force",An infectious resonance within one that broadcasts toxic commands to others,TERRITORY,Dimension 6*,Touch,Viral,Untitled.pct,"Entry enables clean entry to the inner conditions being signaled.

‘We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.’ - Ralph Waldo Emerson"
 GATE: Entry (ET),5,8,,,,,Interference with the easy breath of vitality and aliveness,One feels trapped in a mundane repetitiveness and lacking in ‘specialness’ or in other possibilities,Four point release of clustered life force,A resonance that exorcises the vessel of something that is creating a darkness,Need,Rut,Qi Four,Res Exorcise,"Interference with being able to trust the divine, oneself or others to fulfill one’s needs or desires","An inner state is creating worrisome doubt, fogginess or sadness regarding one’s self-perceived deterioration 
",A purpose one has is undefined or lost,Some information which is within the inner as the truth is actually wrong and needs righting,State,Purpose,Misinformation,Trust,"Some inner force has seemingly risen up  within one and taken charge, and putting one into subservience to it",A veil of illusion and amnesia is clouding inner vision and one’s ability to change or grow,What is seen in others is that which is being denied in oneself,Enabling one’s vessel to receive and contain inner guidance,SERVANT,Maya,MOTE,PILOT,An identity that one has been trying to hide away from oneself or others needs to be seen and lifted away,That which is interfering with being able to make the right choices and decisions,"A resonance for a force that is creating a reversal of good states, e.g. health to illness, joy to sadness ",Bringing together those parts of the vessel not in harmony with each other to increase one’s confront of the real ,Mask,Decision,Res Dark Angel,Qi Rejoining,Invaded by a dark archetype or astral entity that is weakening one’s resolve,"A qi element, which is being suppressed, is decreasing one’s vitality, confidence and creativity",An underlying pattern of force that is hidden from one’s view,One’s sensitivity is being affected by  something or someone...,Dark levels,Qi Interrupt,Concealed,Sensitive,An inner faculty is being sealed off and needs to be accessed,Life force is compressed by apparent stress and is draining off one’s inner aliveness,Life force flow is being altered by subtle parasitic forces that seduce one into unknowing,A frailty exists within one’s inner understanding or is somatically signaling in the body,Frailty,Sealed,Qi Drain,Qi Isolate,A blocked life force flow that disallows one from rising up towards Grace,One is inwardly burdened by a negative self-invalidation,A self-concept that does not allow one to draw on inner resources,Deep feelings within one are preventing access to one’s inner resourcefulness,Qi Profane,Weight,Identity,FEELPOWER,Factor that makes one no longer want to be able climb out of the inner storms  - giving up,The seeding source’s state has created a genetic chemistry which has been passed into one’s vessel,"Factors of imbalance in the body, an instability within the material world",The inner is being entrapped by obscuring forces that prevent open realization and realignment,Ascend,Genetic,Body,Obscure,Untitled.pct,"Entry enables clean entry to the inner conditions being signaled.

‘We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.’ - Ralph Waldo Emerson"
 GATE: Entry (ET),6,8,,,,,Loss of ease and confident communication ,A past lesson regarding spiritual or material attainment is no longer appropriate,Need to clear a Dimension 7 attribute,A resonance needed at the emotional level.,Bacterial,Lessons,Dimension 7*,Res Feeling,Unbalanced feelings that are not allowing one to release a basic distrust one needs to let go,One of the five elements of one’s life force system needs adjustment to bring a fresh harmony to the whole,The envelope of feeling within one is being ‘frozen’ by a force of great loss or fear and needs immediate release,A question needs answering until an answer reveals itself that unhooks an active inner force,Qi Element,PULSING,Ask,Decay,A resonance to allow one to replace the seeding source’s belief in struggle and suffering,There is a distortion within the way one presents oneself to the world that is preventing self realization,An instinctive urge is haunting one,A mechanism that opposes or puts an obstructing pressure on one’s intentions and yearning identity,Res Archetype,Persona,Urge,Inversion,"One’s ability reach out and shape one’s physical circumstances feels weak, frustrated or scrambled",A resonance to help deconstruct a state that one has held onto for a long time,A resonance that calls on the energetic system to restore what has been lost,Past experiencs of darkly taking power over others leaves one hesitant about one’s present choices,DOM YANG,Res Former,Res Restart,Powerdrive,"There is an energy shape active in one’s body, field or environment - TL and clear, then return to Entry",The force pattern here prevents one from allowing an ISelf Recognition level into one’s life,Heart and mind areout of synch and unable to contact the true inner self,Phototropic strength  - to rise up from the earth toward heaven - is being sapped in some way,Energy Shape,ISelf Recog,OUTSYNCH,Rising,Need to clear a Dimension 2 attribute,A life force darkness within one’s yang or outreaching nature needs clearing,There is interference in the ability to accomplish goals or purposes,The state of one’s vessel (body or field) needs attention,Vessel,Dimension 2*,Qi Dark Yang,ACCOMPLISH,A demonic paradigm needs to be seen and  facilitated to help the process of healing here,Some part of one’s life force system is walled off and holding unbalanced feelings,A life force adjustment to allow one’s receptive yin to grow something new within it ,The nature of one’s ‘joss’ or ‘luck’,DEMONIC*,Qi Numb,Qi Prepared,Fortune,A life force state that is seducing one to feel powerless,One’s life force flow needs tuning up to free the inner of static and interference,Need to clear a Dimension 5 attribute,One is not allowing the possibilities provided by the basic framework of one’s present identity,Qi Tempt,Qi Attunement,Dimension 5*,ID Archetype,Untitled.pct,"Entry enables clean entry to the inner conditions being signaled.

‘We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.’ - Ralph Waldo Emerson"
 GATE: Entry (ET),7,8,,,,,A life force darkness within one’s receptive or yin side needs clearing,A resonance to clear the energetics of a relationship,A resonance to refresh the inner with a new direction,A resonance that allows the energetic system to go out of phase with a force and cancel it,Qi Dark Yin,Res Relate,Res Fresh,Res Out Phase,What is laming an inner resource that is flowing to one from the Seeding source,A life force disturbance that is creating feelings of being discarded in some way  ,"A state changing force, which has been passed on from the seeding source, grips one’s inner",A model of reality stored in one’s mindfield needs cleaning or refurbishing,Qi Joining,Addiction,MINDFIELD,Lame,A belief is being held that makes others wrong and oneself right as a justification for one’s state,"Feelings of vulnerability
",A need to penetrate and pass through a band of inner chaos in order to unseal and transform oneself,One’s life force needs cleaning because it is creating a worrying or negating rumbling within one,Excuse,VULNERABLE,Chaos,Qi Soiled,One’s inner calls for return to an older paradigm or way of understanding,A factor that is preventing the assignment of self’s will to the divine’s direction,A barrier to one's joyfulness and ecstatic union with what is,Restless exasperation at one’s slow progress,Reunion,Reassignment,JOY,Impatience,Qi adjustment to unite the inner male and female so that inner truth can be seen and experienced,To bring parts of the self back into alignment with one’s Mission of love on earth,One’s life force needs stimulation to help center oneself within the vessel,Unable to see the Grace of misfortune or bad luck,Qi United,REALIGN,Qi Opening,Tickle,One is trying to escape something,"Contraction at the abdomen, diaphragm or scalp. TL, hold with both hands and let it go. Reassess Entry",Two identities one is facing are struggling against each other,Life force flows within one’s vessel are being blocked,Qi Congestion,ESCAPE,Entry,Displacement,Qi point needs stimulation to bring about the vessel’s ability to be receptive and allow things in,One’s innate inner vibrancy needs an empathic resonance to spring forward,What needs to be seen inwardly,A homeopathic remedy through empathic resonance to lift away the sense of being rejected,Qi Allowing,Res General,Innerworld,Res Catalyst,A discarnate being needs help finding union with the divine,A resonance to help get back into the body and its full field,A life force state that seduces and pesters  when one is trying to change,What is needed to find the truth,Discarnate,Res Integrate,Qi Entice,Truth,Untitled.pct,"Entry enables clean entry to the inner conditions being signaled.

‘We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.’ - Ralph Waldo Emerson"
 GATE: Entry (ET),8,8,,,,,A resonance to begin a change of one’s state,How one is overpowering others,An inner problem is being created by two opposing beliefs held at the same time,One is possessed by a chronic state,Res Change,Overpower,Anxiety,DEMONIC*,"The flying heart, which sees and understands consequences, is being grounded","A distortion, bending, rip, tear or hole in the field of one’s vessel (TL for location)",The seeding source is calling to one for help ,One’s inner yin receptivity and yang  outreach are not acting in coordination with each other,FIELD,Lineage,Compartment,Seeing,Being held in the force of ‘what you do not control controls you’ creates both fear and power hunger,Irritation at the cellular level,Preparing the vessel for active integration....,The protective energy that defends one’s inner wholeness and its power source is partly depleted,Control,Cell,Ready,DEFENSE,Electromagnetic realignment of one’s vessel,"The inner nobility, that provides one with authority as a creator, is calling for renewal","A destructive intention is festering within one’s inner system (find the destructive intention, go to Monster)",One craves immediate freedom from a collective’s imposed sense of limitation,EM ,Nobility,EVIL*,CRF,"One’s yang aspect, that which reaches out and shapes, is corrupted in some way","The human heart, which expresses mercy and understanding of consequences, calls for cleansing",Life force needs adjusting to allow one to open up or unfold ,Knowledge that has been held back or unrevealed in order to control or manipulate others,Yangflow,HEART,Qi Unfolding,Taboo,The vessel wishes a qi adjustment to redress acute modifications of its life force flows,Need to clear a Dimension 3 attribute,Yoked to misaligning forces from the past,The game of life as a journey and what may be befuddling one’s forward motion,Game,Qi Trails,Dimension 3*,Yoke,"The state of inner uprightness and authority, the ability to connect Heaven and earth ",A life force flow is being delayed by a pinched point along its flow line,"Allowing others to overwhelm one, becoming the victim",A hidden standard serves as an excuse for not succeeding,AUTHORITY,Qi Pinched,Overwhelm,If Only,Harmful actions against others are returning to their source,Ear acupuncture required,A basic understanding that gives meaning to existence is here to be examined,A resonance to help explore a potential resource that is presently in a seed state,Harm,Qi Ear,Meaning,Res Seed,Untitled.pct,"Entry enables clean entry to the inner conditions being signaled.

‘We are all inventors, each sailing out on a voyage of discovery, guided each by a private chart, of which there is no duplicate. The world is all gates, all opportunities.’ - Ralph Waldo Emerson"
 GATE: Ability,1,3,,,,"
","Delighted optimism - opening one’s heart to exhilarating fulfillment and a brightly shining destiny ...
",Exuberant creativity - playing the game of life with an abandon and power that brings truth into being ...,A courageous power - acting in deep self compassion and an energizing recognition of one’s capacity to heal ...,"An unleashed grandeur - happily embracing a new hope for healing, fulfillment and passion ...","Weary
",Story,Growth,CHAINS,A joyous excitement - feeling Grace’s loving presence now lifting one into a glorious new existence ... ,One’s hopes coming true - being guided by Grace to the joy and fulfillment one has for so long hoped for ...,Trust in one’s emerging empowerment - taking on a new clarity that celebrates the joy and magic of life ...,The truth being set free within one - unfurling one’s heart to the beauty and the miracles with one now ...,Nourishment,Rising,Nobility,ACCOMPLISH,The knowing of the heart - realizing the profound truth of one’s power to shape one’s destiny ...,A powerful change - surrendering to the presence of a powerful love opening one to glorious new realities ...,"The divine’s liberating inspiration - feeling the love, the beauty and the truth embracing one’s heart ...",A sudden and wonderful change - opening to the wonder of Grace’s amazing and healing friendship ...,VULNERABLE,Need,Truth,Sensitive,The joy of being profoundly healed - realizing that one’s power to manifest what one wants is now with one ...,A joyful new energy - realizing the breathtaking delight of life and the miracles it is bringing one ...,A trusting certainty - opening oneself to Grace’s exhilarating power and rejoicing in the magic of existence ....,The glory of one’s path ahead - opening oneself to the miracle of Grace’s healing forgiveness and love ...,Anxiety,Impatience,PILOT,CHARISMA,Trust in the joys that are to come - brightly opening to the love and success now turning towards one ...,A powerful understanding - celebrating the truth and the beauty of what one is receiving in this world ...,A reawakening faith in one’s hopes - opening to the truth and bright radiance of Grace’s empowering love ...,A grand release - feeling the delight of Grace’s guidance and love radiating within one and out from one ...,Tribe,Innerworld,Nurture,Creation,A charismatic confidence - opening gratefully to the miracles being granted to one by Grace ...,The beautiful magic in one’s life - rising into the clear light of unlimited freedom and the bliss of existence ...,A new wonder and passion - welcoming the joyful miracle of Grace’s presence in one’s world ...,Healing energy and present miracles - accepting Grace’s spaciousness and truth within one ...,DOM YIN,Ascend,RESOURCE,ID Archetype,A loving magic - gratefully welcoming the warmth and excitement that is flowing to one now ...,The power to overcome all limitation - transforming one’s world by showing one’s true strength and mastery ...,Freedom as a grateful and mighty spirit - welcoming the clarity and good fortune now able to be in one’s life ...,The divine’s true friendship - knowing that all that is needed is Grace’s guiding magic and love ... ,Faith,Wall,"IMPLANT
Index",Displacement,A new understanding - opening to the reality of loving without condition and to the magic of Grace ...,Clarity and amazement - brushing aside  dismissal and turmoil and embracing the miracle of Grace’s love ...,A sacred liberation - seeing one’s life opening into a majestic grandeur and truly limitless possibilities ...,The will to accomplish - rejoicing in an upswelling sense of the beauty of how things are going to be ...,Meeting,ASTRAY,Receptacle,TERRITORY,Untitled.pct,"To bring forward the Ability  - ‘Close your eyes, take a big breath, and allow (Ability state in bold font) to spontaneously rise within you now’. Tap In... ‘See yourself and (the seeding source and any other individual beings who have come up in the session) Ability action in plain font (as it applies to both oneself, the seeding and others who may have come up in the session) ....’ Tap In. ‘And across the bridge of space and time feel (the seeding source ‘s) deep thankfulness to you for the healing and light you have brought to (him/her/them) here.’ ... Tap In .... ‘and then in return embrace (the seeding source) with heartfelt fellowship and welcoming appreciation.’ ... Tap Up.

Ability tells of the incremental aftertaste of inner strength being passed on to us by ancestral teammates, or from the pre-body space, a true other life or another being, that leads us to expand ourselves joyfully beyond the forces that we have been dealing with in the session.

‘You’ve got to remember that miracles don’t happen to you, you happen to miracles.’ - Yehuda Berg

Use: Ability is most often put in at the end of the session after the Resolving mode has been introduced and goes in, and *Continue has been checked. The Ability goto is not followed unless Ability has come up in the body of the session before resolving has been reached.
 




"
  Accomplish,1,1/F,,,,,One’s distrust is not allowing one sufficient clarity and drive for an accomplishment one hopes to attain,An implant shared with the seeding source keeps smothering one with a tiring fear of being let down yet again ,"With this, one is unable to envision one’s desires with any real enthusiasm about their being fulfilled",One’s pursuit of a purposeful new state is being prevented by a counter-intention within one,Divination,"IMPLANT
Index",Blinded,Purpose,Absorbing the seeding source’s inner disharmony here has been fouling a life force element within one,One’s true power to manifest is being subliminally diminished by a pain echoing within the seeding source,A resource within one needs refreshing to fully heal the difficult outlook one has been encountering here,One’s self confidence is being taunted by one’s long term experience of not accomishing one’s hopes,Hooked,RESOURCE,DOM YIN,Qi Element,The force here is trying to make one reluctant to project real hope into what one wants to accomplish here,This bitter despair in the seeding source is fragmenting both one’s hopefulness and clarity on what is true,An empathic resonance is needed to alleviate past disappointment and worry about what may happen,The seeding source’s bitter belief that they are a victim in some way is veiling one with a difficult unease,OBFUSCATE,Freespirit,Res Worry,ENVY,A trauma code in the seeding source is creating an unkind self judgment in them and in oneself ,One’s hopes are being dimmed by a demonic paradigm being projected by the seeding source ,One feels exasperated by one’s apparent lack of progress,The intrusive force here has been cruelly countering one’s power to bring out the magic one has within one,CODE,DEMONIC*,Impatience,INTRUDER*,Empathic resonance to illuminate the force at hand that is making one’s hopes seem such a struggle,One has been unknowingly blocking an outlook within one that would lead one to healing and fulfillment,"Unable to patiently stay with one’s goal or understanding of the truth, drifting into distraction or loss of hope",This is making one feel a tense instability and distrust of being able to give birth to a desired reality,Res Whole,Ability,ASTRAY,Birth,"One is being infected by the seeding source’s toxic chain of fear, anxiousness, inadequacy and despair ",One is being persistently plagued by lost confidence in one’s hopes and heartfelt intentions because of this,A life force imbalance needs to be corrected in order to prepare oneself for successful change,This emotional self torture in the seeding source pushes them to being unkind and blind to Grace’s love,Tickle,Viral,Ejection,Qi Prepared,These unclean feelings and images invading one are plundering the power that is enthroned within one,A stressful state associated with one’s ability to accomplish one’s vision now needs to be lifted,One must realize that one’s ability to accomplish fails when one does not trust oneself or trust others ,One’s hope is invalidated by being made to feel a ‘sinner’ or ‘wrong’,Unclean,Qi Four,Powerdrive,Wrong,Such failure is fertilizing an inner feeling that one knows to be unclean and unwanted,"One is feeling burnt out, discouraged and inwardly devitalized by failure","Winning by losing - the power of being a victim
",And this solidity within one’s deep innerhe forward ,Qi Soiled,Weary,Overwhelm,Deepfeel,Untitled.pct,"What prevents realization of a goal or purpose, what is stopping action towards successful accomplishment.

‘On a day when the wind is perfect, the sail just needs to open and the love starts.
Today is such a day.’ - Rumi: Translated by Daniel Ladinsky"
